Serial No.,Date,Type,No Samples,Surrogate Nodes,CQR Nodes,CQR Alpha,Initial Condition,Optimizer Success,Closed Loop Cost,Concentration Cb,Boundary Violation Probability,Iterations,MPC Horizon,MPC Input Cost,ICBMPC Tightner,ICBMPC Random Sampling,ICBMPC Confidence Cutoff,MPC Setpoint,ICBMPC Max Search,Time,LQR r,LQR q,MPC Robust Horizon
108,2025-07-30 16:59:01,cs3,250.0,5.0,20.0,0.05,True,0.0,[[13.83266351]],0.2520123376657643,0.0259719072540009,50,15,0.01,,,,,,81.32350707054138,,,3.0
109,2025-07-30 17:00:22,cs4,,,,,True,0.0,[[55.89494766]],0.5262957390030834,0.009329075515525,50,15,0.01,,,,,,1.5222630500793457,,,
110,2025-07-30 17:00:39,cs5,250.0,5.0,20.0,0.05,True,0.0,[[6.88315]],0.2860131914628556,0.0241326367440829,50,15,0.01,1.0,1.0,0.8,,5.0,15.429917097091677,,,
111,2025-07-30 17:01:11,cs1,250.0,5.0,20.0,0.05,True,0.0,[[39.16601862]],0.2659966229316366,0.0267739990300649,50,15,0.05,1.0,1.0,0.8,,5.0,31.429168939590458,50.0,1.0,
112,2025-07-30 17:01:12,cs2,250.0,20.0,,,True,0.22,[[-0.54782402]],0.550324023227986,0.008235031217933,50,15,0.05,,,,,,1.4407069683074951,,,
113,2025-07-30 17:01:15,cs3,250.0,5.0,20.0,0.05,True,0.0,[[71.26041736]],0.2430732580736139,0.0264497179324233,50,15,0.05,,,,,,84.09924006462097,,,3.0
114,2025-07-30 17:02:39,cs4,,,,,True,0.0,[[281.58938506]],0.526295739687325,0.0093290754748218,50,15,0.05,,,,,,1.7092490196228027,,,
115,2025-07-30 17:02:58,cs5,250.0,5.0,20.0,0.05,True,0.0,[[70.07209504]],0.2910379920202242,0.0238584022969267,50,15,0.05,1.0,1.0,0.8,,5.0,17.609468936920166,,,
116,2025-07-30 17:03:34,cs1,250.0,5.0,20.0,0.05,True,0.0,[[78.81560512]],0.2735491009800853,0.0270747097813864,50,15,0.1,1.0,1.0,0.8,,5.0,35.80333423614502,50.0,1.0,
117,2025-07-30 17:03:35,cs2,250.0,20.0,,,True,0.0,[[144.27891337]],0.2260895168851529,0.0273498357503778,50,15,0.1,,,,,,1.2641849517822266,,,
118,2025-07-30 17:03:38,cs3,250.0,5.0,20.0,0.05,True,0.0,[[143.03002452]],0.2430811746308434,0.0264492969682747,50,15,0.1,,,,,,88.12332892417908,,,3.0
